Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,lower,result,upper,lowLabel,resultlabel,uplabel,level(ft)
2019-03-07,1.92,2811.0,80.0,25.0,0.0,0.0,0.0,42.106949033379024,74.66884931789468,72.83100540611944,0,0,0,2808.430207821543
2019-03-08,1.92,2810.98,78.0,25.0,0.0,0.0,0.0,37.033087091704246,74.66884931789468,71.45152959662325,0,0,0,2808.430808539884
2019-03-09,1.92,2810.96,76.0,25.0,0.0,0.0,0.0,36.258085638652304,61.47001993143005,63.34463901922768,0,0,0,2808.428453850769
2019-03-10,1.91,2810.9,74.0,25.0,0.0,0.0,0.0,36.258085638652304,61.47001993143005,63.34463901922768,0,0,0,2808.4288858367945
2019-03-11,1.91,2810.885,64.5,35.0,0.0,0.0,0.0,36.258085638652304,61.47001993143005,63.34463901922768,0,0,0,2808.359311453227
2019-03-12,1.91,2810.87,55.0,45.0,0.0,0.0,0.0,29.231191599998855,61.47001993143005,68.16881349178682,0,0,0,2808.3379686416033
2019-03-13,1.91,2810.85,65.0,45.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,67.31494803303023,0,0,0,2808.340620096458
2019-03-14,1.91,2810.82,65.0,55.0,0.0,0.0,0.0,33.166393901265096,61.47001993143005,96.41922247178807,0,0,0,2808.34430096625
2019-03-15,1.9,2810.72,58.0,135.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2808.33914567495
2019-03-16,1.89,2810.51,46.0,160.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,50.90059569513422,0,0,0,2808.2572156154424
2019-03-17,1.87,2810.3,46.0,125.0,0.0,0.0,0.0,20.873569900882824,95.2293138865264,297.9250962858179,0,0,0,2808.179906093595
2019-03-18,1.855,2810.075,52.0,125.0,0.0,0.0,0.0,20.873569900882824,53.10109284744655,55.9523369275303,0,0,0,2808.020629113465
2019-03-19,1.84,2809.85,58.0,125.0,0.0,0.0,0.0,21.929581984867585,53.10109284744655,50.90059569513422,0,0,0,2807.8688449532397
2019-03-20,1.82,2809.6,58.0,125.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,67.31494803303023,0,0,0,2807.730611189504
2019-03-21,1.81,2809.4,55.0,120.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,67.31494803303023,0,0,0,2807.555742902849
2019-03-22,1.8,2809.2,55.0,120.0,0.0,0.0,0.0,21.929581984867585,53.10109284744655,67.31494803303023,0,0,0,2807.4417339258457
2019-03-23,1.78,2808.9,74.0,135.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,50.90059569513422,0,0,0,2807.3513249335456
2019-03-24,1.77,2808.8,72.0,135.0,0.0,0.0,0.0,36.258085638652304,61.47001993143005,63.34463901922768,0,0,0,2807.185521285159
2019-03-25,1.75,2808.51,70.0,152.5,0.0,0.0,0.0,36.258085638652304,61.47001993143005,63.34463901922768,0,0,0,2807.0680161157743
2019-03-26,1.73,2808.22,68.0,170.0,0.0,0.0,0.0,34.98147463640882,61.47001993143005,63.34463901922768,0,0,0,2806.9039281988025
2019-03-27,1.71,2808.0,56.0,160.0,0.0,0.0,0.0,34.98147463640882,61.47001993143005,63.34463901922768,0,0,0,2806.72006149833
2019-03-28,1.71,2808.0,56.0,165.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,67.31494803303023,0,0,0,2806.5411706702107
2019-03-29,1.67,2807.4,56.0,160.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,65.93547222353403,0,0,0,2806.5011654094683
2019-03-30,1.65,2807.1,65.0,160.0,0.0,0.0,0.0,22.428772945906548,61.47001993143005,67.31494803303023,0,0,0,2806.22020066931
2019-03-31,1.63,2806.8,65.0,160.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,66.78933768229062,0,0,0,2805.992860841344
2019-04-01,1.61,2806.5,65.0,160.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,51.754461153890816,0,0,0,2805.8060833546665
2019-04-02,1.59,2806.2,65.0,150.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2805.622232216217
2019-04-03,1.57,2805.9,65.0,150.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2805.439961043501
2019-04-04,1.55,2805.65,65.0,115.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,51.754461153890816,0,0,0,2805.2550189345984
2019-04-05,1.54,2805.45,65.0,80.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2805.07695616825
2019-04-06,1.52,2805.2,64.0,80.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2804.965554904106
2019-04-07,1.5,2804.99,65.0,90.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,51.754461153890816,0,0,0,2804.7990994552474
2019-04-08,1.49,2804.785,64.5,90.0,0.0,0.0,0.0,28.07261159999886,61.47001993143005,68.16881349178682,0,0,0,2804.61485370954
2019-04-09,1.48,2804.58,64.0,90.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2804.5028318518785
2019-04-10,1.46,2804.38,65.0,90.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2804.4103339563376
2019-04-11,1.47,2804.45,65.0,40.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2804.248021972371
2019-04-12,1.48,2804.58,110.0,50.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,68.16881349178682,0,0,0,2804.2839007433085
2019-04-13,1.48,2804.69,110.0,30.0,0.0,0.0,0.0,64.04200384131063,86.83776884688544,96.2337575385085,0,0,0,2804.3721582235453
2019-04-14,1.49,2804.72,90.0,30.0,0.0,0.0,0.0,64.04200384131063,86.83776884688544,86.63692793007901,0,0,0,2804.3835278516453
2019-04-15,1.485,2804.69,72.5,35.0,0.0,0.0,0.0,45.70809876111073,74.66884931789468,73.01031618242062,0,0,0,2804.450197535364
2019-04-16,1.48,2804.66,55.0,40.0,0.0,0.0,0.0,36.258085638652304,61.47001993143005,63.290808441057905,0,0,0,2804.4388779995256
2019-04-17,1.48,2804.67,58.0,40.0,0.0,0.0,0.0,23.085668348979386,61.47001993143005,68.16881349178682,0,0,0,2804.399444015412
2019-04-18,1.49,2804.71,90.0,45.0,0.0,0.0,0.0,26.910139573005363,61.47001993143005,66.78933768229062,0,0,0,2804.395354986407
2019-04-19,1.49,2804.78,94.0,45.0,0.0,0.0,0.0,44.165875705055626,81.36577469802039,88.49658888557865,0,0,0,2804.4670198413005
2019-04-20,1.5,2804.92,113.0,45.0,0.0,0.0,0.0,44.165875705055626,81.36577469802039,88.49658888557865,0,0,0,2804.47783728
2019-04-21,1.5,2804.98,89.0,45.0,0.0,0.0,0.0,64.04200384131063,94.74353835970544,110.17645390450379,0,0,0,2804.549963803464
2019-04-22,1.505,2804.995,84.5,45.0,0.0,0.0,0.0,45.70809876111073,74.66884931789468,74.38979199191682,0,0,0,2804.5617697065577
2019-04-23,1.51,2805.01,80.0,45.0,0.0,0.0,0.0,45.70809876111073,74.66884931789468,74.38979199191682,0,0,0,2804.605177919356
2019-04-24,1.51,2805.01,80.0,45.0,0.0,0.0,0.0,42.106949033379024,74.66884931789468,72.83100540611944,0,0,0,2804.6519085756786
2019-04-25,1.51,2805.02,82.0,45.0,0.0,0.0,0.0,42.106949033379024,74.66884931789468,72.83100540611944,0,0,0,2804.663540811425
2019-04-26,1.51,2805.02,82.0,45.0,0.0,0.0,0.0,42.106949033379024,74.66884931789468,72.83100540611944,0,0,0,2804.663538694283
2019-04-27,1.51,2805.02,82.0,45.0,0.0,0.0,0.0,42.106949033379024,74.66884931789468,72.83100540611944,0,0,0,2804.6629727608347
2019-04-28,1.51,2805.09,115.0,45.0,0.0,0.0,0.0,42.106949033379024,74.66884931789468,72.83100540611944,0,0,0,2804.6629727608347
