Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET
2011-06-23,4.65,2844.32,686.0,0.0,32.75,13.0,8.5
2011-06-24,4.800000000000002,2844.98,1355.5,0.0,31.125,8.41666666666667,2.75
2011-06-25,4.95,2845.64,2025.0,0.0,41.75,8.33333333333333,5.91666666666667
2011-06-26,5.39,2847.62,5117.0,0.0,65.125,38.0,41.1666666666667
2011-06-27,5.73,2849.17,4004.0,0.0,76.125,35.9166666666667,24.25
2011-06-28,6.32,2851.79,6761.0,0.0,76.875,17.3333333333333,24.0
2011-06-29,6.68,2853.41,4184.0,0.0,7.875,7.91666666666667,1.5
2011-06-30,6.93,2854.35,2432.0,0.0,6.0,2.0,1.0
2011-07-01,7.165,2855.045,2597.5,0.0,5.125,0.583333333333333,12.75
2011-07-02,7.4,2855.74,2763.0,0.0,34.125,16.25,16.75
2011-07-03,7.5,2856.03,2357.0,1200.0,6.375,2.9166666666666696,0.083333333333333
2011-07-04,7.47,2855.94,1469.0,1800.0,3.475,5.16666666666667,4.25
2011-07-05,7.47,2855.94,1514.0,1500.0,16.375,8.83333333333333,8.41666666666667
2011-07-06,7.5,2856.04,1906.0,1500.0,27.35,11.166666666666698,28.3333333333333
2011-07-07,7.52,2856.1,2649.0,2400.0,28.3,12.083333333333302,12.666666666666698
2011-07-08,7.51,2856.075,2429.5,2200.0,19.875,5.33333333333333,7.58333333333333
2011-07-09,7.5,2856.05,2210.0,2000.0,15.375,2.9166666666666696,8.0
2011-07-10,7.5,2856.04,1882.0,1900.0,3.0,1.0,3.1666666666666696
2011-07-11,7.54,2856.15,1652.0,1200.0,14.75,5.91666666666667,4.25
2011-07-12,7.54,2856.15,1271.0,1200.0,6.375,5.08333333333333,2.5
2011-07-13,7.57,2856.26,1702.0,1250.0,27.25,9.0,9.66666666666667
2011-07-14,7.55,2856.19,1332.0,1585.0,28.0,12.0,15.166666666666698
2011-07-15,7.535,2856.145,3697.0,4126.0,53.75,51.9166666666667,46.0
2011-07-16,7.52,2856.1,6062.0,6667.0,39.125,24.25,23.5
2011-07-17,7.62,2856.39,8032.0,6875.0,92.75,46.1666666666667,54.0
2011-07-18,7.42,2855.81,6135.0,8385.0,49.125,27.6666666666667,31.75
2011-07-19,7.67,2856.56,9960.0,5100.0,64.875,33.6666666666667,23.4166666666667
2011-07-20,7.56,2856.23,7937.0,9208.0,27.125,16.75,21.5833333333333
2011-07-21,7.67,2856.55,6661.0,5386.0,24.75,22.8333333333333,19.5
2011-07-22,7.6400000000000015,2856.46,6336.5,5943.0,11.625,11.583333333333302,13.0
2011-07-23,7.61,2856.37,6012.0,6500.0,27.9,17.6666666666667,19.0
2011-07-24,7.7,2856.63,7340.0,6300.0,53.207829371,29.4166666666667,20.6265929780167
2011-07-25,7.68,2856.57,8187.0,8400.0,63.125,13.916666666666698,11.416666666666698
2011-07-26,7.5,2856.03,4750.0,6850.0,16.0,2.5,9.0
2011-07-27,7.43,2855.85,3517.0,4200.0,13.625,1.9166666666666698,13.416666666666698
2011-07-28,7.69,2856.61,4214.0,1215.0,10.05,1.5833333333333302,15.583333333333302
2011-07-29,7.68,2856.575,2757.0,1657.5,11.625,4.58333333333333,15.75
2011-07-30,7.67,2856.54,1300.0,2100.0,3.0,6.08333333333333,4.58333333333333
2011-07-31,7.81,2856.95,3478.0,1850.0,39.325,15.666666666666698,17.25
2011-08-01,7.57,2856.24,2576.0,5335.0,17.2,10.1666666666667,9.75
2011-08-02,7.66,2856.52,3519.0,2400.0,29.0,12.583333333333302,10.0
2011-08-03,7.88,2857.16,6208.0,3679.0,60.25,42.25,32.9166666666667
2011-08-04,7.82,2856.98,7017.0,7700.0,55.125,32.6666666666667,28.4166666666667
2011-08-05,7.9,2857.215,7948.5,7750.0,40.25,31.85,53.0
2011-08-06,7.98,2857.45,8880.0,7800.0,98.15,38.4833333333333,37.4166666666667
2011-08-07,7.62,2856.4,9031.0,13122.0,44.625,19.95,8.25
2011-08-08,7.55,2856.18,10485.0,11325.0,56.375,23.85,12.066666666666698
2011-08-09,7.33,2855.54,8153.0,10637.0,26.625,14.183333333333302,10.2666666666667
2011-08-10,7.41,2855.79,5376.0,4375.0,12.25,8.29666666666667,8.27333333333333
2011-08-11,7.67,2856.56,6130.0,3092.0,17.125,7.8639532186816705,5.89935466562667
2011-08-12,7.845,2857.065,5449.0,3077.0,49.033400314625,4.22339948768,3.1488997678866695
2011-08-13,8.02,2857.57,4768.0,3062.0,46.723745028025,11.681994075715,6.496516714505
2011-08-14,7.93,2857.32,4358.0,5315.0,7.5685562176125005,4.75187964855667,5.60812002502167
2011-08-15,7.78,2856.87,3166.0,4906.0,5.579177790499999,0.632174985554167,0.5341266256995
2011-08-16,7.87,2857.14,3240.0,1700.0,6.95,0.03333333333333299,6.0333333333333306
2011-08-17,7.97,2857.44,2747.0,1550.0,8.3226211726875,0.8309919976343331,2.39740714631833
2011-08-18,8.04,2857.64,2455.0,1650.0,3.875,3.4166666666666696,0.3
2011-08-19,8.1,2857.81,2357.5,1650.0,14.575,7.41666666666667,1.25
2011-08-20,8.16,2857.98,2260.0,1650.0,14.025,5.13333333333333,13.016666666666698
2011-08-21,8.24,2858.22,2612.0,1650.0,38.825,15.0,19.0833333333333
2011-08-22,8.39,2858.66,3395.0,1650.0,4.75,0.33333333333333304,6.35
2011-08-23,8.45,2858.86,2343.0,1538.0,14.95,1.0,1.9166666666666698
2011-08-24,8.44,2858.83,1405.0,2333.0,13.625,1.16666666666667,5.13333333333333
2011-08-25,8.44,2858.81,2000.0,2056.0,21.3,4.55,4.7
2011-08-26,8.44,2858.81,2081.0,1980.5,15.925,4.33333333333333,3.43333333333333
2011-08-27,8.44,2858.81,2162.0,1905.0,10.0696871188,19.1666666666667,10.2082871084417
2011-08-28,8.42,2858.75,2529.0,2742.0,10.0696871188,19.1666666666667,10.2082871084417
2011-08-29,8.41,2858.73,2594.0,2650.0,15.25,16.983333333333302,30.233333333333302
2011-08-30,8.37,2858.6,3337.0,3824.0,28.65,34.4166666666667,18.7
2011-08-31,8.44,2858.81,4562.0,3717.0,40.125,34.866666666666696,22.9166666666667
2011-09-01,8.33,2858.51,4271.0,5423.0,44.75,24.0,25.75
2011-09-02,8.309999999999999,2858.44,5906.5,5511.5,103.375,38.8,59.116666666666696
2011-09-03,8.29,2858.37,7542.0,5600.0,76.625,32.4333333333333,51.7833333333333
2011-09-04,8.12,2857.87,6364.0,8300.0,55.0,31.1833333333333,27.4166666666667
2011-09-05,8.23,2858.19,7226.0,5950.0,7.85,12.216666666666699,16.533333333333303
2011-09-06,8.23,2858.21,6039.0,5938.0,4.75,6.7833333333333306,7.06666666666667
2011-09-07,8.26,2858.29,3803.0,3467.0,20.075,14.1,9.93333333333333
2011-09-08,8.26,2858.3,3250.0,3188.0,6.975,9.51666666666667,4.86666666666667
2011-09-09,8.285,2858.37,3006.5,2611.5,11.425,7.4,5.35
2011-09-10,8.31,2858.44,2763.0,2035.0,12.625,2.13333333333333,10.75
2011-09-11,8.36,2858.58,2938.0,2367.0,18.25,6.58333333333333,2.4166666666666696
2011-09-12,8.34,2858.54,2472.0,2606.0,16.625,4.5,1.13333333333333
2011-09-13,8.35,2858.56,2465.0,2363.0,10.525,1.7,2.28333333333333
2011-09-14,8.36,2858.58,2480.0,2363.0,10.45,15.333333333333302,4.93333333333333
2011-09-15,8.36,2858.58,2280.0,2257.0,20.125,5.38333333333333,6.16666666666667
2011-09-16,8.35,2858.55,2980.5,3545.0,32.417666371525,11.132884546,7.66666666666667
2011-09-17,8.34,2858.52,3681.0,4833.0,7.0,2.86666666666667,2.8333333333333304
2011-09-18,8.33,2858.51,2892.0,2908.0,2.125,0.318177086467,2.25
2011-09-19,8.33,2858.51,2636.0,2613.0,14.3,2.81666666666667,7.66666666666667
2011-09-20,8.33,2858.51,2431.0,2408.0,4.275,2.4166666666666696,0.666666666666667
2011-09-21,8.34,2858.52,1976.0,1913.0,9.25,0.75,3.6666666666666696
2011-09-22,8.33,2858.51,1784.0,1800.0,5.725,2.4166666666666696,4.0
2011-09-23,8.305,2858.425,1499.0,1750.0,0.875,0.33333333333333304,0.833333333333333
2011-09-24,8.28,2858.34,1214.0,1700.0,0.125,0.75,0.833333333333333
2011-09-25,8.22,2858.16,926.0,1600.0,0.0,0.0,0.33333333333333304
2011-09-26,8.14,2857.93,730.0,1600.0,0.125,0.0,0.0
2011-09-27,8.055,2857.68,621.0,1550.0,0.125,0.0,0.0
2011-09-28,7.97,2857.43,512.0,1500.0,0.0,0.0,0.0
2011-09-29,7.88,2857.16,463.0,1490.0,0.0,0.0,0.0
2011-09-30,7.77,2856.84,346.0,1569.0,0.0,0.0,0.0
2011-10-01,7.65,2856.49,260.0,1600.0,0.25,4.58333333333333,2.0
2011-10-02,7.53,2856.13,220.0,1600.0,1.0,1.16666666666667,8.16666666666667
2011-10-03,7.4,2855.75,142.0,1600.0,0.75,1.8333333333333302,0.583333333333333
2011-10-04,7.27,2855.36,103.0,1500.0,0.125,0.0,0.083333333333333
2011-10-05,7.13,2854.94,86.0,1500.0,0.0,0.0,0.0
2011-10-06,6.99,2854.53,74.0,1500.0,0.0,0.0,0.0
2011-10-07,6.855,2854.075,174.5,1500.0,0.0,0.083333333333333,0.0
2011-10-08,6.72,2853.62,275.0,1500.0,0.0,0.166666666666667,0.166666666666667
2011-10-09,6.64,2853.25,575.0,1500.0,18.925,14.5,0.0
2011-10-10,6.55,2852.84,472.0,1500.0,17.625,28.716666666666697,13.333333333333302
2011-10-11,6.48,2852.53,730.0,1500.0,25.625,19.1,10.3333333333333
2011-10-12,6.41,2852.19,583.0,1430.0,43.775,10.25,3.6666666666666696
2011-10-13,6.45,2852.38,1301.0,783.0,8.875,21.1333333333333,12.333333333333302
2011-10-14,6.46,2852.4300000000007,979.0,641.5,4.625,0.65,0.583333333333333
2011-10-15,6.47,2852.48,657.0,500.0,4.375,21.45,5.08333333333333
2011-10-16,6.48,2852.52,632.0,500.0,5.75,10.1666666666667,4.66666666666667
2011-10-17,6.48,2852.52,717.0,585.0,7.2,4.91666666666667,1.8333333333333302
2011-10-18,6.45,2852.41,345.0,600.0,7.0,1.5833333333333302,6.75
2011-10-19,6.42,2852.24,300.0,709.0,19.5,0.166666666666667,0.5
2011-10-20,6.34,2851.9,101.0,948.0,2.8791585272525,0.0,0.0
2011-10-21,6.2650000000000015,2851.56,165.5,961.5,2.0,4.66666666666667,1.5
2011-10-22,6.19,2851.22,230.0,975.0,5.625,5.5,18.1666666666667
2011-10-23,6.11,2850.87,101.0,975.0,0.0,0.0,0.083333333333333
2011-10-24,6.1,2850.82,761.0,862.0,42.75,27.3333333333333,51.75
2011-10-25,6.1,2850.8,510.0,534.0,8.75,5.5,17.6666666666667
2011-10-26,6.12,2850.92,837.0,500.0,5.75,8.66666666666667,0.583333333333333
2011-10-27,6.11,2850.84,362.0,540.0,0.0,0.0,0.083333333333333
2011-10-28,6.075,2850.695,314.5,570.0,18.0,3.0,9.5
2011-10-29,6.04,2850.55,267.0,600.0,0.0,0.0,0.0
2011-10-30,6.0,2850.35,245.0,733.0,16.75,5.95,2.5833333333333304
2011-10-31,5.93,2850.05,55.0,800.0,2.0,3.1,0.5
2011-11-01,5.85,2849.68,55.0,900.0,1.9911214953271028,3.0855140186915886,0.4976635514018692
2011-11-02,5.75,2849.24,54.0,1050.0,1.9822429906542056,3.071028037383177,0.4953271028037383
2011-11-03,5.77,2849.34,946.0,946.0,1.9733644859813084,3.0565420560747665,0.4929906542056075
2011-11-04,5.875,2849.8050000000007,1106.0,580.5,1.9644859813084112,3.0420560747663554,0.4906542056074766
2011-11-05,5.98,2850.27,1266.0,215.0,1.9556074766355143,3.027570093457944,0.4883177570093458
2011-11-06,6.01,2850.41,723.0,342.0,1.9467289719626168,3.013084112149533,0.485981308411215
2011-11-07,6.05,2850.59,1021.0,537.0,1.93785046728972,2.9985981308411214,0.4836448598130842
2011-11-08,6.07,2850.69,920.0,642.0,1.9289719626168225,2.9841121495327103,0.4813084112149533
2011-11-09,6.02,2850.44,213.0,837.0,1.9200934579439253,2.9696261682242997,0.4789719626168225
2011-11-10,5.94,2850.09,118.0,1000.0,1.911214953271028,2.955140186915888,0.4766355140186916
2011-11-11,5.8450000000000015,2849.665,86.0,1100.0,1.902336448598131,2.9406542056074767,0.4742990654205608
2011-11-12,5.75,2849.24,54.0,1200.0,1.8934579439252337,2.9261682242990656,0.4719626168224299
2011-11-13,5.64,2848.74,25.0,1300.0,1.8845794392523365,2.9116822429906537,0.4696261682242991
2011-11-14,5.52,2848.19,46.0,1300.0,1.8757009345794395,2.8971962616822435,0.4672897196261682
2011-11-15,5.39,2847.64,46.0,1350.0,1.866822429906542,2.882710280373832,0.4649532710280374
2011-11-16,5.26,2847.06,25.0,1350.0,1.8579439252336452,2.8682242990654205,0.4626168224299066
2011-11-17,5.13,2846.46,23.0,1550.0,1.849065420560748,2.853738317757009,0.4602803738317757
2011-11-18,4.995,2845.855,23.0,1450.0,1.8401869158878503,2.839252336448598,0.4579439252336449
2011-11-19,4.86,2845.25,23.0,1350.0,1.8313084112149531,2.824766355140187,0.4556074766355141
2011-11-20,4.7,2844.55,16.0,1550.0,1.822429906542056,2.810280373831776,0.4532710280373832
2011-11-21,4.56,2843.8,11.0,1550.0,1.813551401869159,2.795794392523365,0.4509345794392524
2011-11-22,4.48,2843.06,18.0,890.0,1.8046728971962616,2.7813084112149533,0.4485981308411215
2011-11-23,4.41,2842.3,14.0,910.0,1.7957943925233646,2.7668224299065423,0.4462616822429907
2011-11-24,4.33,2841.53,17.0,926.0,1.7869158878504674,2.7523364485981308,0.4439252336448598
2011-11-25,4.245,2840.735,17.0,950.0,1.7780373831775702,2.73785046728972,0.441588785046729
2011-11-26,4.16,2839.94,17.0,974.0,1.7691588785046732,2.7233644859813086,0.4392523364485981
2011-11-27,4.08,2839.14,14.0,960.0,1.7602803738317758,2.7088785046728967,0.4369158878504673
2011-11-28,3.99,2838.32,17.0,987.0,1.7514018691588786,2.694392523364486,0.4345794392523365
2011-11-29,3.84,2836.89,462.0,1300.0,1.7425233644859812,2.6799065420560755,0.4322429906542056
2011-11-30,3.92,2837.6,450.0,1300.0,1.7336448598130842,2.6654205607476635,0.4299065420560748
2011-12-01,3.77,2836.18,462.0,1300.0,1.7247663551401868,2.6509345794392525,0.427570093457944
2011-12-02,3.69,2835.42,431.0,1317.5,1.71588785046729,2.636448598130841,0.4252336448598131
2011-12-03,3.61,2834.66,400.0,1335.0,1.7070093457943925,2.6219626168224304,0.4228971962616823
2011-12-04,3.53,2833.82,399.0,1285.0,1.6981308411214957,2.6074766355140193,0.4205607476635514
2011-12-05,3.43,2833.54,400.0,1285.0,1.6892523364485983,2.592990654205608,0.4182242990654206
