Dates,Present Storage(TMC),Reservoir Level(TMC),Inflow,Outflow,MADIKERI,SOMWARPET,VIRAJPET,Label
2011-08-28,8.42,2858.75,2529,2742,10.0696871188,19.1666666666667,10.2082871084417,12
2011-08-29,8.41,2858.73,2594,2650,15.25,16.9833333333333,30.2333333333333,14
2011-08-30,8.37,2858.6,3337,3824,28.65,34.4166666666667,18.7,16
2011-08-31,8.44,2858.81,4562,3717,40.125,34.8666666666667,22.9166666666667,15
2011-09-01,8.33,2858.51,4271,5423,44.75,24,25.75,17
2011-09-02,8.31,2858.44,5906.5,5511.5,103.375,38.8,59.1166666666667,19
2011-09-03,8.29,2858.37,7542,5600,76.625,32.4333333333333,51.7833333333333,18
2011-09-04,8.12,2857.87,6364,8300,55,31.1833333333333,27.4166666666667,19
2011-09-05,8.23,2858.19,7226,5950,7.85,12.2166666666667,16.5333333333333,18
2011-09-06,8.23,2858.21,6039,5938,4.75,6.78333333333333,7.06666666666667,15
2011-09-07,8.26,2858.29,3803,3467,20.075,14.1,9.93333333333333,13
2011-09-08,8.26,2858.3,3250,3188,6.975,9.51666666666667,4.86666666666667,13
2011-09-09,8.285,2858.37,3006.5,2611.5,11.425,7.4,5.35,12
2011-09-10,8.31,2858.44,2763,2035,12.625,2.13333333333333,10.75,13
2011-09-11,8.36,2858.58,2938,2367,18.25,6.58333333333333,2.41666666666667,12
2011-09-12,8.34,2858.54,2472,2606,16.625,4.5,1.13333333333333,12
2011-09-13,8.35,2858.56,2465,2363,10.525,1.7,2.28333333333333,12
2011-09-14,8.36,2858.58,2480,2363,10.45,15.3333333333333,4.93333333333333,11
2011-09-15,8.36,2858.58,2280,2257,20.125,5.38333333333333,6.16666666666667,13
2011-09-16,8.35,2858.55,2980.5,3545,32.417666371525,11.132884546,7.66666666666667,14
2011-09-17,8.34,2858.52,3681,4833,7,2.86666666666667,2.83333333333333,13
2011-09-18,8.33,2858.51,2892,2908,2.125,0.318177086467,2.25,12
2011-09-19,8.33,2858.51,2636,2613,14.3,2.81666666666667,7.66666666666667,12
2011-09-20,8.33,2858.51,2431,2408,4.275,2.41666666666667,0.666666666666667,11
2011-09-21,8.34,2858.52,1976,1913,9.25,0.75,3.66666666666667,10
2011-09-22,8.33,2858.51,1784,1800,5.725,2.41666666666667,4,9
2011-09-23,8.305,2858.425,1499,1750,0.875,0.333333333333333,0.833333333333333,9
2011-09-24,8.28,2858.34,1214,1700,0.125,0.75,0.833333333333333,7
2011-09-25,8.22,2858.16,926,1600,0,0,0.333333333333333,7
2011-09-26,8.14,2857.93,730,1600,0.125,0,0,6
2011-09-27,8.055,2857.68,621,1550,0.125,0,0,6
2011-09-28,7.97,2857.43,512,1500,0,0,0,5
2011-09-29,7.88,2857.16,463,1490,0,0,0,5
2011-09-30,7.77,2856.84,346,1569,0,0,0,4
2011-10-01,7.65,2856.49,260,1600,0.25,4.58333333333333,2,4
2011-10-02,7.53,2856.13,220,1600,1,1.16666666666667,8.16666666666667,3
2011-10-03,7.4,2855.75,142,1600,0.75,1.83333333333333,0.583333333333333,3
2011-10-04,7.27,2855.36,103,1500,0.125,0,0.083333333333333,1
2011-10-05,7.13,2854.94,86,1500,0,0,0,1
2011-10-06,6.99,2854.53,74,1500,0,0,0,0
2011-10-07,6.855,2854.075,174.5,1500,0,0.083333333333333,0,4
2011-10-08,6.72,2853.62,275,1500,0,0.166666666666667,0.166666666666667,6
2011-10-09,6.64,2853.25,575,1500,18.925,14.5,0,5
2011-10-10,6.55,2852.84,472,1500,17.625,28.7166666666667,13.3333333333333,7
2011-10-11,6.48,2852.53,730,1500,25.625,19.1,10.3333333333333,6
2011-10-12,6.41,2852.19,583,1430,43.775,10.25,3.66666666666667,9
2011-10-13,6.45,2852.38,1301,783,8.875,21.1333333333333,12.3333333333333,7
2011-10-14,6.46,2852.43,979,641.5,4.625,0.65,0.583333333333333,6
2011-10-15,6.47,2852.48,657,500,4.375,21.45,5.08333333333333,6
2011-10-16,6.48,2852.52,632,500,5.75,10.1666666666667,4.66666666666667,7
2011-10-17,6.48,2852.52,717,585,7.2,4.91666666666667,1.83333333333333,5
2011-10-18,6.45,2852.41,345,600,7,1.58333333333333,6.75,4
2011-10-19,6.42,2852.24,300,709,19.5,0.166666666666667,0.5,3
2011-10-20,6.34,2851.9,101,948,2.8791585272525,0,0,0
2011-10-21,6.265,2851.56,165.5,961.5,2,4.66666666666667,1.5,4
2011-10-22,6.19,2851.22,230,975,5.625,5.5,18.1666666666667,3
2011-10-23,6.11,2850.87,101,975,0,0,0.083333333333333,7
2011-10-24,6.1,2850.82,761,862,42.75,27.3333333333333,51.75,6
2011-10-25,6.1,2850.8,510,534,8.75,5.5,17.6666666666667,7
2011-10-26,6.12,2850.92,837,500,5.75,8.66666666666667,0.583333333333333,5
2011-10-27,6.11,2850.84,362,540,0,0,0.083333333333333,5
2011-10-28,6.075,2850.695,314.5,570,18,3,9.5,4
2011-10-29,6.04,2850.55,267,600,0,0,0,4
2011-10-30,6,2850.35,245,733,16.75,5.95,2.58333333333333,1
2011-10-31,5.93,2850.05,55,800,2,3.1,0.5,1
2011-11-01,5.85,2849.68,55,900,1.9911214953271,3.08551401869159,0.497663551401869,1
2011-11-02,5.75,2849.24,54,1050,1.98224299065421,3.07102803738318,0.495327102803738,7
2011-11-03,5.77,2849.34,946,946,1.97336448598131,3.05654205607477,0.492990654205607,8
2011-11-04,5.875,2849.805,1106,580.5,1.96448598130841,3.04205607476636,0.490654205607477,9
2011-11-05,5.98,2850.27,1266,215,1.95560747663551,3.02757009345794,0.488317757009346,7
2011-11-06,6.01,2850.41,723,342,1.94672897196262,3.01308411214953,0.485981308411215,8
