,tar,out
532,1692.9999,580.45087
533,2293.0,1721.9838
534,1885.0,2560.269
535,1373.0,1559.4553
536,861.00006,1695.1995
537,673.0,1277.3411
538,505.0,1072.8469
539,356.0,871.56244
540,271.0,616.023
541,512.0,459.75824
542,410.5,386.6311
543,309.0,379.65533
544,414.0,520.9822
545,289.0,524.38934
546,251.0,513.745
547,233.00002,299.76978
548,221.0,254.07104
549,282.0,432.00272
550,343.0,325.35294
551,489.0,139.71248
552,771.0,281.9437
553,1043.0,306.90988
554,2156.0,830.22565
555,8359.0,2113.774
556,10301.0,1883.4028
557,12243.0,5236.0728
558,9191.0,5456.1655
559,5689.0,7569.7007
560,3541.0,9579.516
561,10064.0,8836.719
562,7344.0,6623.875
563,7377.5,6515.8374
564,7411.0,6728.394
565,17825.0,6321.005
566,7175.0,8324.355
567,4372.0,7841.682
568,8841.0,11773.033
569,14939.0,9004.082
570,11473.501,6922.6587
571,8008.0,5246.722
572,6215.0,7941.6494
573,9973.0,8908.386
574,10896.0,7842.879
575,9623.0,7351.1846
576,12083.0,8655.267
577,12973.001,8251.049
578,13863.0,7895.5117
579,12244.0,8190.8623
580,9580.0,9547.582
581,3389.0,11753.145
582,4608.0,11325.683
583,6209.0,8099.1836
584,5405.5,5164.7993
585,4602.0,3629.9067
586,3098.0,3104.7063
587,2755.0,4153.31
588,2373.0,3429.276
589,2738.0,2680.1516
590,2412.0,2075.7695
591,2255.5,1598.1189
592,2099.0,1569.7026
593,1545.0,1543.6583
594,1494.0,2116.7725
595,1494.0,1776.8737
596,1128.0,1254.8289
597,939.0,1105.3413
598,783.5,1225.72
599,628.0,914.20715
600,958.0,814.4367
601,2237.0,706.0864
602,3295.0,661.45966
603,1927.0,1076.0021
604,6841.0,1449.7999
605,6133.5005,2524.5994
606,5426.0,3432.7627
607,4562.0,4206.4614
608,5229.0,4836.552
609,4603.0,4067.7612
610,5136.0,3946.9094
611,7221.0005,3724.2415
612,5506.5005,3324.8564
613,3792.0,4563.5933
614,3083.0,3959.8816
615,2934.9998,3772.9758
616,2597.0,3532.6519
617,2604.0,2751.6045
618,3006.0,2190.1575
619,2722.5,1721.2443
620,2439.0,1678.3733
621,1951.0,1863.0269
622,2164.0,1734.7953
623,2037.0,1676.1522
624,1777.0,1441.105
625,1550.0,1368.3501
626,1687.5001,1399.5
627,1825.0001,1255.6567
628,1895.0,1116.3722
629,1403.0,2659.839
630,1501.9999,2404.4995
631,1067.0,1820.6342
632,1155.0,1600.819
633,896.5,1389.1215
634,638.00006,997.67975
635,1695.0,1774.8815
636,958.0,1084.2509
637,353.0,560.3541
638,353.0,699.80585
639,578.0,737.12897
640,486.0,788.2214
641,394.0,561.28503
642,120.0,1332.0575
643,169.0,617.04694
644,611.0,389.0856
645,1521.0001,573.2259
646,831.0,569.9338
647,501.50003,656.43256
648,172.0,756.50714
649,11.0,738.27655
650,124.0,623.6379
651,46.000004,376.98242
652,57.0,279.91583
653,187.0,172.23196
654,265.0,204.20334
655,343.0,164.86887
656,271.0,330.0782
657,323.0,374.59732
658,409.0,287.0723
659,621.00006,263.32214
660,325.0,595.7198
661,363.0,449.47012
662,401.0,973.48804
663,143.0,501.43555
664,40.0,602.2358
665,37.0,522.7669
666,37.0,280.53006
667,67.0,201.35974
668,107.5,159.36815
669,148.0,145.64716
670,84.99999,154.54602
671,63.000004,172.02133
672,133.0,196.30664
673,71.0,199.28899
674,575.0,191.49916
675,528.5,195.54205
676,481.99997,194.46516
677,655.0,308.6479
678,578.0,388.25937
679,758.0,452.30518
680,405.0,477.36127
681,571.0,488.97754
682,540.5,544.89014
683,510.0,491.34683
684,507.0,491.97873
685,511.0,463.56378
686,485.0,480.33307
687,630.99994,471.76984
688,1065.0,470.08676
689,1041.0,467.4577
690,1017.0,498.648
691,987.0,622.9081
692,987.0,728.065
693,987.0,790.8252
694,963.0,778.5829
695,956.0,771.9129
696,767.5,770.10016
697,579.0,767.72614
698,361.0,764.5141
699,339.99997,719.9243
700,310.0,642.81635
701,268.0,529.8529
702,237.0,455.41406
703,221.0,412.43222
704,205.0,396.72568
705,71.0,379.70517
706,330.0,366.25153
707,372.0,357.48087
708,415.0,324.61127
709,367.0,357.13367
710,240.99998,398.2681
711,114.99999,460.88968
712,14.0,468.21378
713,229.99998,440.41678
714,386.0,382.72433
715,197.0,318.05273
716,133.0,329.61667
717,154.00002,393.49164
718,175.0,419.20792
719,226.0,396.1501
720,205.0,360.79965
721,221.0,362.25317
722,199.99998,384.24756
723,49.999996,395.85995
724,72.0,406.6408
725,514.0,404.62598
726,956.0,372.23352
727,168.0,347.49136
728,160.0,430.41385
729,148.0,623.67755
730,152.0,606.6208
731,136.0,525.39764
732,113.5,396.08078
733,91.0,396.372
734,120.0,394.61923
735,124.0,390.07913
736,116.0,381.01224
737,103.0,382.55948
738,99.99999,388.54028
739,95.5,395.2871
740,91.0,394.4798
741,95.99999,393.00793
742,95.99999,392.34576
743,95.99999,393.02173
744,84.0,395.61423
745,92.00001,398.9417
746,94.0,402.84152
747,95.99999,403.2015
748,101.0,405.7532
749,88.0,408.91885
750,72.0,414.1764
751,76.0,419.1421
752,72.0,420.60526
753,82.0,418.33356
754,92.00001,417.08408
755,86.0,417.46442
756,92.00001,422.7365
757,75.0,429.46567
758,86.0,434.84503
759,75.0,439.81134
760,66.5,439.27875
761,58.0,442.56818
762,64.0,442.59537
763,64.0,443.44388
764,58.0,441.17847
765,75.0,442.6399
766,58.0,445.60028
767,52.5,448.38803
768,47.0,454.26965
769,53.0,455.94183
770,43.0,457.30038
771,60.0,455.3473
772,47.999996,457.92233
773,37.0,459.1145
774,40.0,465.22076
775,43.0,467.4028
776,54.0,468.51382
777,43.0,468.2591
778,37.0,470.95047
779,26.0,477.79172
780,26.0,481.17664
781,26.0,482.664
782,26.0,480.3676
783,32.0,480.4327
784,26.0,481.8617
785,26.0,485.11203
786,31.0,489.74716
787,45.0,492.82056
788,33.0,495.88275
789,21.0,499.31012
790,21.0,506.80463
791,21.0,510.93707
792,38.0,511.38205
793,95.99999,510.2886
794,78.0,511.5909
795,55.500004,518.8077
796,33.0,538.88745
797,27.0,552.4451
798,27.0,556.59796
799,38.0,547.23914
800,38.0,540.9431
801,39.0,539.3313
802,30.5,544.20575
803,22.0,549.7395
804,28.0,555.13855
805,28.0,556.71576
806,17.0,556.5604
807,11.0,558.1838
808,11.0,561.3261
809,13.5,563.1368
810,16.0,562.90497
811,22.0,563.23596
812,28.0,566.18646
813,11.0,570.6432
814,11.0,576.3343
815,11.0,582.73395
816,28.0,584.3847
817,45.0,585.3661
818,52.0,585.9254
819,40.0,593.2781
820,52.0,604.0562
821,41.0,615.3607
822,58.0,620.2435
823,54.0,625.2181
824,49.999996,626.4974
825,56.0,633.6849
826,84.99999,637.7776
827,74.0,642.3336
828,74.0,645.70605
829,91.0,656.4617
830,74.0,664.21533
831,57.0,670.32886
832,35.0,675.9231
833,41.0,678.8665
834,23.999998,677.8013
835,30.0,669.8593
836,35.0,667.4453
837,38.500004,664.4782
838,42.0,666.9439
839,80.0,669.964
840,76.0,676.3046
841,76.0,682.17957
842,98.0,695.88153
843,82.0,706.7504
844,65.0,715.8677
845,47.999996,723.8796
846,60.0,728.1288
847,71.0,728.1512
848,83.0,721.564
849,40.0,721.6077
850,47.999996,727.30585
851,47.999996,737.9376
852,47.999996,735.7012
853,66.0,734.43677
854,77.00001,732.36395
855,60.0,737.28766
856,83.0,745.09393
857,83.0,754.92334
858,99.0,759.79816
859,114.99999,767.2037
860,164.0,772.6066
861,176.0,783.8731
862,185.0,794.51166
863,820.0,815.6461
864,154.00002,834.8066
865,118.5,851.3265
866,83.0,1008.73926
867,66.0,986.39825
868,51.0,953.5449
869,51.0,828.4164
870,43.0,814.77277
871,36.0,805.3756
872,40.333332,803.0716
873,44.666668,802.2849
874,49.0,802.6521
875,105.0,804.5437
876,243.0,808.9273
877,99.99999,815.24536
878,59.0,833.7923
879,77.00001,882.3492
880,101.0,890.01
881,114.99999,262.9332
882,188.0,743.49304
883,124.0,452.74484
884,84.0,776.205
885,70.0,545.7123
886,94.0,165.03975
887,118.0,324.70435
888,110.0,234.8734
889,119.0,361.3098
890,151.0,181.83743
891,236.0,107.232254
892,285.0,244.67143
893,332.0,574.8778
